relevance,doc_type_ai,doc_type_pages,page_count,doi,plant_host,fungal_taxon,tissue,presence_absence,primary_guild,interaction_notes,biome,country,data_source,source_file,doc_type_ai_clean,paper_id,interaction_id,fungal_taxon_raw,fungal_taxon_resolved,fungal_taxon_status,fungal_taxon_resolution_method,fungal_taxon_confidence,fungal_taxon_accepted_ids,plant_host_raw,plant_host_resolved,plant_host_status,plant_host_resolution_method,plant_host_confidence,plant_host_accepted_ids
Relevant,full-text,full-text,10,10.3389/fmicb.2024.1448191,anethum graveolens,auxarthron,not specified,present,endophytic,isolated from anethum graveolens samples; not specified; egypt; saudi arabia,austria,egypt,full-text,doi_10.3389_fmicb.2024.1448191,Full-Text,doi:10.3389/fmicb.2024.1448191,int_06e51c89c948f591,auxarthron,auxarthron,Resolved,exact_accepted,1.00,2595861,anethum graveolens,anethum graveolens,Resolved,exact_accepted,1.00,3034646
Relevant,full-text,full-text,10,10.3389/fmicb.2024.1448191,anethum graveolens,arthrinium,not specified,present,endophytic,isolated from anethum graveolens samples; not specified; egypt; saudi arabia,austria,egypt,full-text,doi_10.3389_fmicb.2024.1448191,Full-Text,doi:10.3389/fmicb.2024.1448191,int_7a4291024e645d81,arthrinium,arthrinium,Resolved,exact_accepted,1.00,2569332,anethum graveolens,anethum graveolens,Resolved,exact_accepted,1.00,3034646
Relevant,full-text,full-text,10,10.3389/fmicb.2024.1448191,anethum graveolens,aspergillus,not specified,present,endophytic,isolated from anethum graveolens samples; not specified; egypt; saudi arabia,austria,egypt,full-text,doi_10.3389_fmicb.2024.1448191,Full-Text,doi:10.3389/fmicb.2024.1448191,int_df47e4fdf79075f2,aspergillus,aspergillus,Resolved,exact_accepted,1.00,8884233,anethum graveolens,anethum graveolens,Resolved,exact_accepted,1.00,3034646
Relevant,full-text,full-text,10,10.3389/fmicb.2024.1448191,anethum graveolens,microsporum,not specified,present,endophytic,isolated from anethum graveolens samples; not specified; egypt; saudi arabia,austria,egypt,full-text,doi_10.3389_fmicb.2024.1448191,Full-Text,doi:10.3389/fmicb.2024.1448191,int_8c0f9fe7028bd3aa,microsporum,microsporum,Resolved,exact_accepted,1.00,2518112,anethum graveolens,anethum graveolens,Resolved,exact_accepted,1.00,3034646
Relevant,full-text,full-text,10,10.3389/fmicb.2024.1448191,anethum graveolens,dothiorella,not specified,present,endophytic,isolated from anethum graveolens samples; not specified; egypt; saudi arabia,austria,egypt,full-text,doi_10.3389_fmicb.2024.1448191,Full-Text,doi:10.3389/fmicb.2024.1448191,int_e5aff97d64007129,dothiorella,dothiorella,Resolved,exact_accepted,1.00,2568060,anethum graveolens,anethum graveolens,Resolved,exact_accepted,1.00,3034646
Relevant,full-text,full-text,10,10.3389/fmicb.2024.1448191,anethum graveolens,trichophyton,not specified,present,endophytic,isolated from anethum graveolens samples; not specified; egypt; saudi arabia,austria,egypt,full-text,doi_10.3389_fmicb.2024.1448191,Full-Text,doi:10.3389/fmicb.2024.1448191,int_f8226b7bfca1f900,trichophyton,trichophyton,Resolved,exact_accepted,1.00,2595868,anethum graveolens,anethum graveolens,Resolved,exact_accepted,1.00,3034646
Relevant,full-text,full-text,10,10.3389/fmicb.2024.1448191,anethum graveolens,lophiostoma,not specified,present,endophytic,isolated from anethum graveolens samples; not specified; egypt; saudi arabia,austria,egypt,full-text,doi_10.3389_fmicb.2024.1448191,Full-Text,doi:10.3389/fmicb.2024.1448191,int_d84dbff4f47f5cca,lophiostoma,lophiostoma,Resolved,exact_accepted,1.00,2568038,anethum graveolens,anethum graveolens,Resolved,exact_accepted,1.00,3034646
Relevant,full-text,full-text,10,10.3389/fmicb.2024.1448191,anethum graveolens,penicillium,not specified,present,endophytic,isolated from anethum graveolens samples; not specified; egypt; saudi arabia,austria,egypt,full-text,doi_10.3389_fmicb.2024.1448191,Full-Text,doi:10.3389/fmicb.2024.1448191,int_4ac3a8409d2e7290,penicillium,penicillium,Resolved,exact_accepted,1.00,7635114,anethum graveolens,anethum graveolens,Resolved,exact_accepted,1.00,3034646
Relevant,full-text,full-text,10,10.3389/fmicb.2024.1448191,anethum graveolens,trichoderma,not specified,present,endophytic,isolated from anethum graveolens samples; not specified; egypt; saudi arabia,austria,egypt,full-text,doi_10.3389_fmicb.2024.1448191,Full-Text,doi:10.3389/fmicb.2024.1448191,int_6e505ad471d4da8b,trichoderma,trichoderma,Resolved,exact_accepted,1.00,7703803,anethum graveolens,anethum graveolens,Resolved,exact_accepted,1.00,3034646
Relevant,full-text,full-text,16,10.3389/fmicb.2023.1190624,alisma orientale (sam.) juzep.,chaetomium globosum,roots,present,endophytic,isolated from roots,not specified,china,full-text,doi_10.3389_fmicb.2023.1190624,Full-Text,doi:10.3389/fmicb.2023.1190624,int_465d86e059c97855,chaetomium globosum,chaetomium globosum,Resolved,exact_accepted,1.00,2573741,alisma orientale (sam.) juzep.,alisma plantago-aquatica orientale,Resolved,synonym_map,0.95,2865101
Relevant,abstract,abstract,0,10.1128/spectrum.03076-23,sophora alopecuroides,aspergillus,roots,stems,leaves,seeds; present; endophytic; isolated from different organs at the mature stage of s. alopecuroides.,(not provided in text),(not provided in text),abstract-csv,doi_10.1128_spectrum.03076-23,Abstract,doi:10.1128/spectrum.03076-23,int_882aa76100be9b27,aspergillus,aspergillus,Resolved,exact_accepted,1.00,8884233,sophora alopecuroides,sophora alopecuroides,Resolved,exact_accepted,1.00,2959035
Relevant,abstract,abstract,0,10.1016/j.funbio.2020.07.002,dendrobium catenatum,tulasnella sp.,not specified in the text,present,endophytic,co-cultured with three fungi isolated from d. catenatum. fungal endophytes specifically affected the growth and chemical composition of four cultivars.,not specified in the text,not specified in the text,abstract-csv,doi_10.1016_j.funbio.2020.07.002,Abstract,doi:10.1016/j.funbio.2020.07.002,int_50a946cb55821096,tulasnella sp.,tulasnella,Resolved,exact_accepted,1.00,2555245,dendrobium catenatum,dendrobium officinale,Resolved,synonym_map,0.95,5317472
Relevant,abstract,abstract,0,10.1016/j.funbio.2020.07.002,dendrobium catenatum,leptosphaeria microscopica,not specified in the text,present,endophytic,co-cultured with three fungi isolated from d. catenatum. fungal endophytes specifically affected the growth and chemical composition of four cultivars.,not specified in the text,not specified in the text,abstract-csv,doi_10.1016_j.funbio.2020.07.002,Abstract,doi:10.1016/j.funbio.2020.07.002,int_c6a46f81684b0a07,leptosphaeria microscopica,phaeosphaeria microscopica,Resolved,synonym_map,0.95,2619328,dendrobium catenatum,dendrobium officinale,Resolved,synonym_map,0.95,5317472
Relevant,abstract,abstract,0,10.1016/j.funbio.2020.07.002,dendrobium catenatum,guignardia sp.,not specified in the text,present,endophytic,co-cultured with three fungi isolated from d. catenatum. fungal endophytes specifically affected the growth and chemical composition of four cultivars.,not specified in the text,not specified in the text,abstract-csv,doi_10.1016_j.funbio.2020.07.002,Abstract,doi:10.1016/j.funbio.2020.07.002,int_15b7e00e13143c00,guignardia sp.,guignardia,Resolved,exact_accepted,1.00,8129964,dendrobium catenatum,dendrobium officinale,Resolved,synonym_map,0.95,5317472
Relevant,abstract,abstract,0,10.1080/14786419.2022.2156997,asparagus racemosus,aspergillus terreus,root,present,endophytic,isolated from roots.,(not provided in the text),(not provided in the text),abstract-csv,doi_10.1080_14786419.2022.2156997,Abstract,doi:10.1080/14786419.2022.2156997,int_bb167c0d3a08caed,aspergillus terreus,aspergillus terreus,Resolved,exact_accepted,1.00,5259838,asparagus racemosus,asparagus racemosus,Resolved,exact_accepted,1.00,2768632
Relevant,abstract,abstract,0,10.1080/14786419.2022.2156997,asparagus racemosus,strain: e.f-1,root,present,endophytic,isolated from roots.,(not provided in the text),(not provided in the text),abstract-csv,doi_10.1080_14786419.2022.2156997,Abstract,doi:10.1080/14786419.2022.2156997,int_40532afc1b65b20a,strain: e.f-1,,Unresolved,no_match,0.00,,asparagus racemosus,asparagus racemosus,Resolved,exact_accepted,1.00,2768632
Relevant,abstract,abstract,0,10.1080/14786419.2022.2156997,asparagus racemosus,aspergillus terreus,root,present,endophytic,isolated from roots.,(not provided in the text),(not provided in the text),abstract-csv,doi_10.1080_14786419.2022.2156997,Abstract,doi:10.1080/14786419.2022.2156997,int_6ace4c2c2285926c,aspergillus terreus,aspergillus terreus,Resolved,exact_accepted,1.00,5259838,asparagus racemosus,asparagus racemosus,Resolved,exact_accepted,1.00,2768632
Relevant,abstract,abstract,0,10.1080/14786419.2022.2156997,asparagus racemosus,strain: y-2,root,present,endophytic,isolated from roots.,(not provided in the text),(not provided in the text),abstract-csv,doi_10.1080_14786419.2022.2156997,Abstract,doi:10.1080/14786419.2022.2156997,int_763cd7dd666816e3,strain: y-2,,Unresolved,no_match,0.00,,asparagus racemosus,asparagus racemosus,Resolved,exact_accepted,1.00,2768632
Relevant,abstract,abstract,0,10.1080/14786419.2022.2156997,asparagus racemosus,aspergillus flavus,root,present,endophytic,isolated from roots.,(not provided in the text),(not provided in the text),abstract-csv,doi_10.1080_14786419.2022.2156997,Abstract,doi:10.1080/14786419.2022.2156997,int_650d546e6eef0cd2,aspergillus flavus,aspergillus flavus,Resolved,exact_accepted,1.00,5259820,asparagus racemosus,asparagus racemosus,Resolved,exact_accepted,1.00,2768632
Relevant,abstract,abstract,0,10.1080/14786419.2022.2156997,asparagus racemosus,strain: e.f-7,root,present,endophytic,isolated from roots.,(not provided in the text),(not provided in the text),abstract-csv,doi_10.1080_14786419.2022.2156997,Abstract,doi:10.1080/14786419.2022.2156997,int_060a515856f8d099,strain: e.f-7,,Unresolved,no_match,0.00,,asparagus racemosus,asparagus racemosus,Resolved,exact_accepted,1.00,2768632
Relevant,abstract,abstract,0,10.1080/14786419.2022.2156997,asparagus racemosus,penicillium sp.,root,present,endophytic,isolated from roots.,(not provided in the text),(not provided in the text),abstract-csv,doi_10.1080_14786419.2022.2156997,Abstract,doi:10.1080/14786419.2022.2156997,int_4139110e82738cfc,penicillium sp.,penicillium,Resolved,exact_accepted,1.00,7635114,asparagus racemosus,asparagus racemosus,Resolved,exact_accepted,1.00,2768632
Relevant,abstract,abstract,0,10.1080/14786419.2022.2156997,asparagus racemosus,strain: e.f-12,root,present,endophytic,isolated from roots.,(not provided in the text),(not provided in the text),abstract-csv,doi_10.1080_14786419.2022.2156997,Abstract,doi:10.1080/14786419.2022.2156997,int_c1dc88f9371c5677,strain: e.f-12,,Unresolved,no_match,0.00,,asparagus racemosus,asparagus racemosus,Resolved,exact_accepted,1.00,2768632
Relevant,abstract,abstract,0,10.1080/14786419.2022.2156997,asparagus racemosus,talaromyces pinophilus,root,present,endophytic,isolated from roots.,(not provided in the text),(not provided in the text),abstract-csv,doi_10.1080_14786419.2022.2156997,Abstract,doi:10.1080/14786419.2022.2156997,int_8f1c1a6624525c43,talaromyces pinophilus,talaromyces pinophilus,Resolved,exact_accepted,1.00,8079970,asparagus racemosus,asparagus racemosus,Resolved,exact_accepted,1.00,2768632
Relevant,abstract,abstract,0,10.1080/14786419.2022.2156997,asparagus racemosus,strain: s-26,root,present,endophytic,isolated from roots.,(not provided in the text),(not provided in the text),abstract-csv,doi_10.1080_14786419.2022.2156997,Abstract,doi:10.1080/14786419.2022.2156997,int_899a5e7230175aaf,strain: s-26,,Unresolved,no_match,0.00,,asparagus racemosus,asparagus racemosus,Resolved,exact_accepted,1.00,2768632
Relevant,abstract,abstract,0,10.1016/j.bjm.2018.06.006,paeonia ostii (feng dan and luoyang feng dan) and paeonia suffruticosa (luoyang hong),NA,not specified,present,endophytic,isolated from three types of tree peonies for diversity and community investigation,not specified,china,abstract-csv,doi_10.1016_j.bjm.2018.06.006,Abstract,doi:10.1016/j.bjm.2018.06.006,int_ca1a153a2d37dacb,NA,,Unresolved,none,0.00,,paeonia ostii (feng dan and luoyang feng dan) and paeonia suffruticosa (luoyang hong),paeonia ostii; paeonia suffruticosa,Partially_Resolved,exact_accepted; no_match,0.67,7155259; 7316508
Relevant,abstract,abstract,0,10.1016/j.jaridenv.2012.04.009,grasses and sedges (not specified in full latin),cochliobolus sp.,not specified,present,endophytic,grow asymptomatically within the tissues of grasses and sedges in semiarid northwest venezuela.,semiarid,venezuela,abstract-csv,doi_10.1016_j.jaridenv.2012.04.009,Abstract,doi:10.1016/j.jaridenv.2012.04.009,int_380b911a33df8a04,cochliobolus sp.,cochliobolus,Resolved,exact_accepted,1.00,2615883,grasses and sedges (not specified in full latin),poaceae,Partially_Resolved,exact_accepted; no_match,0.50,3073
Relevant,abstract,abstract,0,10.55230/mabjournal.v52i4.d148,garcinia atroviridis,nigrospora sphaerica,leaf,branch,and fruit,present; biocontrol agent; isolated for potential antagonistic against phytopathogenic; colletotrichum gloeosporioides.,NA,NA,abstract-csv,doi_10.55230_mabjournal.v52i4.d148,Abstract,doi:10.55230/mabjournal.v52i4.d148,int_5d96b7638f51682a,nigrospora sphaerica,nigrospora oryzae,Resolved,synonym_map,0.95,2569650,garcinia atroviridis,garcinia atroviridis,Resolved,exact_accepted,1.00,3711121
Relevant,abstract,abstract,0,10.4014/jmb.1901.01015,ficus elastica,penicillium funiculosum,leaves,present,endophytic,saprotrophic; isolated from ficus elastica leaves,NA,NA,abstract-csv,doi_10.4014_jmb.1901.01015,Abstract,doi:10.4014/jmb.1901.01015,int_da08ec65d99114b2,penicillium funiculosum,talaromyces funiculosus,Resolved,synonym_map,0.95,7432563,ficus elastica,ficus elastica,Resolved,exact_accepted,1.00,7835333
Relevant,abstract,abstract,0,10.4014/jmb.1901.01015,ficus elastica,trichoderma harzianum,leaves,present,endophytic,saprotrophic; isolated from ficus elastica leaves,NA,NA,abstract-csv,doi_10.4014_jmb.1901.01015,Abstract,doi:10.4014/jmb.1901.01015,int_b76b9ec3a050cd7f,trichoderma harzianum,trichoderma harzianum,Resolved,exact_accepted,1.00,5251352,ficus elastica,ficus elastica,Resolved,exact_accepted,1.00,7835333
Relevant,abstract,abstract,0,10.3390/jof11010022,calea pinnatifida (asteraceae),hypomontagnella barbarensis,(not specified in the text),present,endophytic,isolated from calea pinnatifida,(not specified in the text),(not specified in the text),abstract-csv,doi_10.3390_jof11010022,Abstract,doi:10.3390/jof11010022,int_f7bd572db5d33597,hypomontagnella barbarensis,hypomontagnella barbarensis,Resolved,exact_accepted,1.00,10837473,calea pinnatifida (asteraceae),calea pinnatifida,Resolved,exact_accepted,1.00,3147483
Relevant,abstract,abstract,0,10.3390/jof11010022,calea pinnatifida (asteraceae),neopestalotiopsis clavispora,(not specified in the text),present,endophytic,isolated from calea pinnatifida,(not specified in the text),(not specified in the text),abstract-csv,doi_10.3390_jof11010022,Abstract,doi:10.3390/jof11010022,int_364b055e295b6616,neopestalotiopsis clavispora,neopestalotiopsis clavispora,Resolved,exact_accepted,1.00,7759357,calea pinnatifida (asteraceae),calea pinnatifida,Resolved,exact_accepted,1.00,3147483
Relevant,abstract,abstract,0,10.3390/jof11010022,calea pinnatifida (asteraceae),nigrospora sacchari-officinarum,(not specified in the text),present,endophytic,isolated from calea pinnatifida,(not specified in the text),(not specified in the text),abstract-csv,doi_10.3390_jof11010022,Abstract,doi:10.3390/jof11010022,int_d6cdd03be5bd2ffb,nigrospora sacchari-officinarum,nigrospora sacchari-officinarum,Resolved,exact_accepted,1.00,12181747,calea pinnatifida (asteraceae),calea pinnatifida,Resolved,exact_accepted,1.00,3147483
Relevant,abstract,abstract,0,10.3390/jof11010022,calea pinnatifida (asteraceae),annulohypoxylon moriforme,(not specified in the text),present,endophytic,isolated from calea pinnatifida,(not specified in the text),(not specified in the text),abstract-csv,doi_10.3390_jof11010022,Abstract,doi:10.3390/jof11010022,int_0b1003dd76dcddef,annulohypoxylon moriforme,annulohypoxylon moriforme,Resolved,exact_accepted,1.00,3459917,calea pinnatifida (asteraceae),calea pinnatifida,Resolved,exact_accepted,1.00,3147483
Relevant,abstract,abstract,0,10.3390/jof11010022,calea pinnatifida (asteraceae),colletotrichum siamense,(not specified in the text),present,endophytic,isolated from calea pinnatifida,(not specified in the text),(not specified in the text),abstract-csv,doi_10.3390_jof11010022,Abstract,doi:10.3390/jof11010022,int_9e5cdc6edcf2cc48,colletotrichum siamense,colletotrichum siamense,Resolved,exact_accepted,1.00,8184256,calea pinnatifida (asteraceae),calea pinnatifida,Resolved,exact_accepted,1.00,3147483
Relevant,abstract,abstract,0,10.3390/jof11010022,calea pinnatifida (asteraceae),colletotrichum karstii,(not specified in the text),present,endophytic,isolated from calea pinnatifida,(not specified in the text),(not specified in the text),abstract-csv,doi_10.3390_jof11010022,Abstract,doi:10.3390/jof11010022,int_48f4064034b533ba,colletotrichum karstii,,Unresolved,no_match,0.00,,calea pinnatifida (asteraceae),calea pinnatifida,Resolved,exact_accepted,1.00,3147483
Relevant,abstract,abstract,0,10.5941/myco.2015.43.4.435,tephrosia purpurea,NA,leaves,stems,roots,present; endophytic; isolated from leaves; stems and roots. exhibited antifungal activity against some indicator plant pathogenic fungi.,(not specified in text),(not specified in text),abstract-csv,doi_10.5941_myco.2015.43.4.435,Abstract,doi:10.5941/myco.2015.43.4.435,int_a02c97a9f9ae645a,NA,,Unresolved,none,0.00,,tephrosia purpurea,tephrosia purpurea,Resolved,exact_accepted,1.00,5342239
Relevant,abstract,abstract,0,10.1016/j.tetlet.2019.151468,cephalotaxus fortunei hook,phomopsis sp. cfs42,NA,present,endophytic,isolated from medicinally significant plant; cephalotaxus fortunei hook.,NA,NA,abstract-csv,doi_10.1016_j.tetlet.2019.151468,Abstract,doi:10.1016/j.tetlet.2019.151468,int_901ebeee7c746949,phomopsis sp. cfs42,phomopsis,Resolved,exact_accepted,1.00,2577612,cephalotaxus fortunei hook,cephalotaxus fortunei,Resolved,exact_accepted,1.00,2685265
Relevant,abstract,abstract,0,10.1016/s0031-9422(00)00408-8,many tropical plant species,pestalotiopsis spp.,not specified,present,endophytic,isolated from rainforest plants located on several continents,rainforest,not specified,abstract-csv,doi_10.1016_s0031-9422(00)00408-8,Abstract,doi:10.1016/s0031-9422(00)00408-8,int_ab64bd6df07a79d8,pestalotiopsis spp.,pestalotiopsis,Resolved,exact_accepted,1.00,2574855,many tropical plant species,,Unresolved,no_match,0.00,
Relevant,abstract,abstract,0,10.1016/j.funeco.2019.100907,medicago truncatula,sordariomycetes,root,present,endophytic,occurrence of brachypodium pinnatum in the neighborhood induced higher richness of sordariomycetes. holcus mollis decreased the otu evenness of the entire mycobiota.,outdoor experimental mesocosms,not specified,abstract-csv,doi_10.1016_j.funeco.2019.100907,Abstract,doi:10.1016/j.funeco.2019.100907,int_d82cd4491b16f56f,sordariomycetes,sordariomycetes,Resolved,exact_accepted,1.00,320,medicago truncatula,medicago truncatula,Resolved,exact_accepted,1.00,2965280
Relevant,abstract,abstract,0,10.1016/j.funeco.2019.100907,medicago truncatula,glomeromycetes,root,present,endophytic,occurrence of brachypodium pinnatum in the neighborhood induced higher richness of sordariomycetes. holcus mollis decreased the otu evenness of the entire mycobiota.,outdoor experimental mesocosms,not specified,abstract-csv,doi_10.1016_j.funeco.2019.100907,Abstract,doi:10.1016/j.funeco.2019.100907,int_921931818f423933,glomeromycetes,glomeromycetes,Resolved,exact_accepted,1.00,156,medicago truncatula,medicago truncatula,Resolved,exact_accepted,1.00,2965280
Relevant,full-text,full-text,8,10.5530/ijper.55.2s.126,cardiospermum halicacabum l.,drechslera spicifera,leaf,present,endophytic,isolated from surface-sterilized leaves,not specified,india,full-text,doi_10.5530_ijper.55.2s.126,Full-Text,doi:10.5530/ijper.55.2s.126,int_a385327d04bd6c2b,drechslera spicifera,curvularia spicifera,Resolved,synonym_map,0.95,2615960,cardiospermum halicacabum l.,cardiospermum halicacabum,Resolved,exact_accepted,1.00,3189939
Relevant,abstract,abstract,0,10.7717/peerj.4713,glycine max (soybean),NA,roots,present,endophytic,isolated from surface-sterilized roots; primarily identified using culture-dependent methods,huang-huai region of china (agricultural),china,abstract-csv,doi_10.7717_peerj.4713,Abstract,doi:10.7717/peerj.4713,int_a6d14b644d0c426b,NA,,Unresolved,none,0.00,,glycine max (soybean),glycine max,Resolved,exact_accepted,1.00,5359660
Relevant,abstract,abstract,0,10.7717/peerj.4713,glycine max (soybean),NA,roots,present,endophytic,isolated from surface-sterilized roots; primarily identified using culture-dependent methods,huang-huai region of china (agricultural),china,abstract-csv,doi_10.7717_peerj.4713,Abstract,doi:10.7717/peerj.4713,int_bf141d0af4e5ed5d,NA,,Unresolved,none,0.00,,glycine max (soybean),glycine max,Resolved,exact_accepted,1.00,5359660
Relevant,full-text,full-text,11,10.3389/fmicb.2018.00666,nitraria tangutorum,fusarium spp.,root,present,endophytic,isolated from parasitized roots of cynomorium songaricum,desert,china,full-text,doi_10.3389_fmicb.2018.00666,Full-Text,doi:10.3389/fmicb.2018.00666,int_c1dfc7194fd8cf56,fusarium spp.,fusarium,Resolved,exact_accepted,1.00,2554026,nitraria tangutorum,nitraria sibirica,Resolved,synonym_map,0.95,7373508
Relevant,abstract,abstract,0,10.1007/s005720050205,pinus muricata,scientificname: rhizopogon subcaerulescens,root,present,ectomycorrhizal,isolated from seedlings reestablishing after a wildfire; observed monthly at either a vam-dominated chaparral scrub site or an em-dominated forest site.,vam-dominated chaparral scrub and em-dominated forest,NA,abstract-csv,doi_10.1007_s005720050205,Abstract,doi:10.1007/s005720050205,int_89dcac3eaf33eb97,scientificname: rhizopogon subcaerulescens,,Unresolved,no_match,0.00,,pinus muricata,pinus muricata,Resolved,exact_accepted,1.00,5285595
Relevant,abstract,abstract,0,10.1007/s005720050205,pinus muricata,scientificname: rhizopogon ochraceorubens,root,present,ectomycorrhizal,isolated from seedlings reestablishing after a wildfire; observed monthly at either a vam-dominated chaparral scrub site or an em-dominated forest site.,vam-dominated chaparral scrub and em-dominated forest,NA,abstract-csv,doi_10.1007_s005720050205,Abstract,doi:10.1007/s005720050205,int_c44a6f4d60d517e1,scientificname: rhizopogon ochraceorubens,,Unresolved,no_match,0.00,,pinus muricata,pinus muricata,Resolved,exact_accepted,1.00,5285595
Relevant,abstract,abstract,0,10.1007/s005720050205,pinus muricata,scientificname: suillus pungens,root,present,ectomycorrhizal,isolated from seedlings reestablishing after a wildfire; observed monthly at either a vam-dominated chaparral scrub site or an em-dominated forest site.,vam-dominated chaparral scrub and em-dominated forest,NA,abstract-csv,doi_10.1007_s005720050205,Abstract,doi:10.1007/s005720050205,int_674384f6f83ce511,scientificname: suillus pungens,,Unresolved,no_match,0.00,,pinus muricata,pinus muricata,Resolved,exact_accepted,1.00,5285595
Relevant,abstract,abstract,0,10.1007/s005720050205,pinus muricata,scientificname: amanita spp.,root,present,ectomycorrhizal,isolated from seedlings reestablishing after a wildfire; observed monthly at either a vam-dominated chaparral scrub site or an em-dominated forest site.,vam-dominated chaparral scrub and em-dominated forest,NA,abstract-csv,doi_10.1007_s005720050205,Abstract,doi:10.1007/s005720050205,int_dbc14fe3b45031fd,scientificname: amanita spp.,,Unresolved,no_match,0.00,,pinus muricata,pinus muricata,Resolved,exact_accepted,1.00,5285595
Relevant,abstract,abstract,0,10.1007/s005720050205,pinus muricata,scientificname: russula brevipes,root,present,ectomycorrhizal,isolated from seedlings reestablishing after a wildfire; observed monthly at either a vam-dominated chaparral scrub site or an em-dominated forest site.,vam-dominated chaparral scrub and em-dominated forest,NA,abstract-csv,doi_10.1007_s005720050205,Abstract,doi:10.1007/s005720050205,int_1f6f3740461a5071,scientificname: russula brevipes,,Unresolved,no_match,0.00,,pinus muricata,pinus muricata,Resolved,exact_accepted,1.00,5285595
Relevant,abstract,abstract,0,10.1007/s005720050205,pinus muricata,scientificname: cantharellaceae,root,present,ectomycorrhizal,isolated from seedlings reestablishing after a wildfire; observed monthly at either a vam-dominated chaparral scrub site or an em-dominated forest site.,vam-dominated chaparral scrub and em-dominated forest,NA,abstract-csv,doi_10.1007_s005720050205,Abstract,doi:10.1007/s005720050205,int_3099f06220654977,scientificname: cantharellaceae,,Unresolved,no_match,0.00,,pinus muricata,pinus muricata,Resolved,exact_accepted,1.00,5285595
Relevant,abstract,abstract,0,10.1093/femsec/fiw142,fraxinus excelsior,venturia sp.,leaf,present,endophytic,inhibited ascospore germination of hymenoscyphus fraxineus; colonization of ash seedlings in a climate chamber,(not provided in text),(not provided in text),abstract-csv,doi_10.1093_femsec_fiw142,Abstract,doi:10.1093/femsec/fiw142,int_6c2e986ee82861fa,venturia sp.,venturia,Resolved,exact_accepted,1.00,2560762,fraxinus excelsior,fraxinus excelsior,Resolved,exact_accepted,1.00,3172358
Relevant,abstract,abstract,0,10.1093/femsec/fiw142,fraxinus excelsior,paraconiothyrium sp.,leaf,present,endophytic,inhibited ascospore germination of hymenoscyphus fraxineus; colonization of ash seedlings in a climate chamber,(not provided in text),(not provided in text),abstract-csv,doi_10.1093_femsec_fiw142,Abstract,doi:10.1093/femsec/fiw142,int_4316d6ed16b94b95,paraconiothyrium sp.,paraconiothyrium,Resolved,exact_accepted,1.00,2615545,fraxinus excelsior,fraxinus excelsior,Resolved,exact_accepted,1.00,3172358
Relevant,abstract,abstract,0,10.1093/femsec/fiw142,fraxinus excelsior,boeremia exigua,leaf,present,endophytic,inhibited ascospore germination of hymenoscyphus fraxineus; colonization of ash seedlings in a climate chamber,(not provided in text),(not provided in text),abstract-csv,doi_10.1093_femsec_fiw142,Abstract,doi:10.1093/femsec/fiw142,int_7f8fc58cd8852c74,boeremia exigua,boeremia exigua,Resolved,exact_accepted,1.00,5894233,fraxinus excelsior,fraxinus excelsior,Resolved,exact_accepted,1.00,3172358
Relevant,abstract,abstract,0,10.1093/femsec/fiw142,fraxinus excelsior,kretzschmaria deusta,leaf,present,endophytic,inhibited ascospore germination of hymenoscyphus fraxineus; colonization of ash seedlings in a climate chamber,(not provided in text),(not provided in text),abstract-csv,doi_10.1093_femsec_fiw142,Abstract,doi:10.1093/femsec/fiw142,int_be93c7465af33f89,kretzschmaria deusta,kretzschmaria deusta,Resolved,exact_accepted,1.00,2577023,fraxinus excelsior,fraxinus excelsior,Resolved,exact_accepted,1.00,3172358
Relevant,abstract,abstract,0,10.1093/femsec/fiw142,fraxinus excelsior,neofabraea alba,leaf,present,endophytic,inhibited ascospore germination of hymenoscyphus fraxineus; colonization of ash seedlings in a climate chamber,(not provided in text),(not provided in text),abstract-csv,doi_10.1093_femsec_fiw142,Abstract,doi:10.1093/femsec/fiw142,int_8a5a3795bced271e,neofabraea alba,neofabraea vagabunda,Resolved,synonym_map,0.95,7490263,fraxinus excelsior,fraxinus excelsior,Resolved,exact_accepted,1.00,3172358
Relevant,abstract,abstract,0,10.1093/femsec/fiw142,fraxinus ornus,venturia sp.,leaf,present,endophytic,inhibited ascospore germination of hymenoscyphus fraxineus; colonization of ash seedlings in a climate chamber,(not provided in text),(not provided in text),abstract-csv,doi_10.1093_femsec_fiw142,Abstract,doi:10.1093/femsec/fiw142,int_134a674a097bb401,venturia sp.,venturia,Resolved,exact_accepted,1.00,2560762,fraxinus ornus,fraxinus ornus,Resolved,exact_accepted,1.00,3172347
Relevant,abstract,abstract,0,10.1093/femsec/fiw142,fraxinus ornus,paraconiothyrium sp.,leaf,present,endophytic,inhibited ascospore germination of hymenoscyphus fraxineus; colonization of ash seedlings in a climate chamber,(not provided in text),(not provided in text),abstract-csv,doi_10.1093_femsec_fiw142,Abstract,doi:10.1093/femsec/fiw142,int_d94fe0804527a7a2,paraconiothyrium sp.,paraconiothyrium,Resolved,exact_accepted,1.00,2615545,fraxinus ornus,fraxinus ornus,Resolved,exact_accepted,1.00,3172347
